Code,Country,Column3,Shortfall,Shortfall/Demand
1,Belgium,EU 27,0.0,0.0
2,Bulgaria,EU 27,0.0,0.0
3,Czechia,EU 27,0.0,0.0
4,Denmark,EU 27,0.0,0.0
5,Germany,EU 27,0.0,0.0
6,Estonia,EU 27,0.0,0.0
7,Greece,EU 27,0.0,0.0
8,Spain,EU 27,0.0,0.0
9,France,EU 27,0.0,0.0
10,Croatia,EU 27,0.0,0.0
11,Italy,EU 27,0.0,0.0
12,Latvia,EU 27,0.0,0.0
13,Lithuania,EU 27,0.0,0.0
14,Luxembourg,EU 27,0.0,0.0
15,Hungary,EU 27,0.0,0.0
16,Netherlands,EU 27,0.0,0.0
17,Austria,EU 27,0.0,0.0
18,Poland,EU 27,6.241487279175881,0.09913917666311997
19,Portugal,EU 27,0.0,0.0
20,Romania,EU 27,0.0,0.0
21,Slovenia,EU 27,0.0,0.0
22,Slovakia,EU 27,0.0,0.0
23,Finland,EU 27,0.6523137645552644,0.09765086112267629
24,UK,NonEU,0.0,0.0
25,North Macedonia,NonEU,0.0,0.0
26,Serbia,NonEU,0.0,0.0
27,Moldova,NonEU,0.0,0.0
28,Ukraine,NonEU,26.115226922912864,0.2867170656462328
29,Ireland,EU 27,0.0,0.0
